H2J7  1151.6383790 0.000729867 1.868E9
H2J7  1134.8964860 0.002568610 1.741E9
H2J6  1131.7536180 0.000748072 1.868E9
H2J6  1125.7267470 0.000656326 1.868E9
H2J5  1125.5397680 0.000757692 1.868E9
H2J5  1120.4005890 0.000715714 1.868E9
H2J4  1120.2493210 0.000755955 1.868E9
H2J7  1119.0297010 0.005176020 1.632E9
H2J4  1116.0147190 0.000777988 1.868E9
H2J3  1115.8955500 0.000738064 1.868E9
H2J6  1115.4563840 0.002604310 1.741E9
H2J3  1112.5830340 0.000846784 1.868E9
H2J2  1112.4959970 0.000691459 1.868E9
H2J2  1110.1210430 0.000932201 1.868E9
H2J1  1110.0625140 0.000573914 1.868E9
H2J6  1109.8617270 0.002505800 1.741E9
H2J5  1109.3132590 0.002615850 1.741E9
H2J1  1108.6332600 0.001077000 1.868E9
H2J0  1108.1273270 0.001664570 1.868E9
H2J5  1104.5483630 0.002676060 1.741E9
H2J4  1104.0839750 0.002595470 1.741E9
H2J7  1103.9822930 0.007843250 1.536E9
H2J4  1100.1644380 0.002854300 1.741E9
H2J6  1100.0199850 0.005209740 1.632E9
H2J3  1099.7871830 0.002525690 1.741E9
H2J3  1096.7253370 0.003055710 1.741E9
H2J2  1096.4389420 0.002367130 1.741E9
H2J6  1094.7991630 0.005463250 1.632E9
H2J2  1094.2446020 0.003314800 1.741E9
H2J1  1094.0519790 0.001968520 1.741E9
H2J5  1093.9549450 0.005206730 1.632E9
H2J1  1092.7324260 0.003780150 1.741E9
H2J0  1092.1952340 0.005783580 1.741E9
H2J7  1089.7064550 0.009941490 1.450E9
H2J5  1089.5131950 0.005739510 1.632E9
H2J4  1088.7953620 0.005150460 1.632E9
H2J6  1085.3844370 0.007860600 1.536E9
H2J4  1085.1455400 0.006030640 1.632E9
H2J3  1084.5603450 0.005009460 1.632E9
H2J3  1081.7112430 0.006362470 1.632E9
H2J2  1081.2660350 0.004699830 1.632E9
H2J6  1080.4947640 0.008954520 1.536E9
H2J5  1079.4004060 0.007834460 1.536E9
H2J2  1079.2254200 0.006817990 1.632E9
H2J1  1078.9254700 0.003922570 1.632E9
H2J1  1077.6989360 0.007693240 1.632E9
H2J0  1077.1387420 0.011667900 1.632E9
H2J7  1076.1556270 0.011121900 1.370E9
H2J5  1075.2440630 0.009281420 1.536E9
H2J4  1074.3129510 0.007743580 1.536E9
H2J6  1071.4988230 0.009938600 1.450E9
H2J4  1070.9005450 0.009626390 1.536E9
H2J3  1070.1408800 0.007538280 1.536E9
H2J3  1067.4785540 0.010042100 1.536E9
H2J6  1066.9070880 0.012302600 1.450E9
H2J2  1066.9006790 0.007090450 1.536E9
H2J5  1065.5966180 0.009900060 1.450E9
H2J2  1064.9948120 0.010648200 1.536E9
H2J1  1064.6053860 0.005941380 1.536E9
H2J1  1063.4601440 0.011902400 1.536E9
H2J7  1063.2888330 0.011307800 1.300E9
